Indicator Name,Indicator Code,Country Name,Country Code,Year,Value
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2022,10.9713652903022
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2021,5.64051140636751
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2020,-0.349737696727454
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2019,1.17954334821804
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2018,5.03209691984875
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2017,7.5170628355112
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2016,2.57815515245079
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2015,-1.05399831971282
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2014,2.51087633253703
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2013,0.775629322367448
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2012,1.14753853706054
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2011,6.27075302995688
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2010,3.53491239189831
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2009,1.42685972070539
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2008,10.4469875128222
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2007,5.84224874901382
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2006,6.14911606456572
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2005,8.66569221131756
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2004,10.9734053679554
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2003,11.6386219580734
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2002,10.3590607918507
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2001,8.2902831885033
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2000,6.32763551411156
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1999,4.4643546767589
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1998,3.27444554260465
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1997,2.12473132408039
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1996,2.99528023991143
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1995,1.4600063035097
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1994,1.01295206694857
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1993,0.960904460459192
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1992,7.9369801219287
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1991,10.5954493994794
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1990,9.70986384562653
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1989,4.07364364792934
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1988,9.92402339810403
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1987,4.685987787925
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1986,21.6738748768894
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1985,16.765
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1984,0.106451612903662
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1983,9.81355311787776
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1982,10.8378703800656
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1981,14.8992481203002
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1980,22.3933889164965
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1979,5.46001552795041
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1978,9.58437912111287
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1977,17.5379384484612
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,1976,7.10957583547552
Survival Rate from Age 15-60,HD.HCI.AMRT,Tonga,TON,2020,0.833986341953278
Survival Rate from Age 15-60,HD.HCI.AMRT,Tonga,TON,2018,0.83115029335022
Survival Rate from Age 15-60,HD.HCI.AMRT,Tonga,TON,2017,0.8697
Survival Rate from Age 15-60,HD.HCI.AMRT,Tonga,TON,2010,0.82245260477066
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Tonga,TON,2020,0.880812287330627
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Tonga,TON,2018,0.878104388713837
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Tonga,TON,2017,0.9019
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Tonga,TON,2010,0.86967933177948
"Survival Rate from Age 15-60, Male",HD.HCI.AMRT.MA,Tonga,TON,2020,0.787719428539276
"Survival Rate from Age 15-60, Male",HD.HCI.AMRT.MA,Tonga,TON,2018,0.785161375999451
"Survival Rate from Age 15-60, Male",HD.HCI.AMRT.MA,Tonga,TON,2017,0.8367
"Survival Rate from Age 15-60, Male",HD.HCI.AMRT.MA,Tonga,TON,2010,0.775095582008362
Expected Years of School,HD.HCI.EYRS,Tonga,TON,2020,11.5625162124634
Expected Years of School,HD.HCI.EYRS,Tonga,TON,2018,11.5625162124634
Expected Years of School,HD.HCI.EYRS,Tonga,TON,2017,10.88
"Expected Years of School, Female",HD.HCI.EYRS.FE,Tonga,TON,2020,11.8328409194946
"Expected Years of School, Female",HD.HCI.EYRS.FE,Tonga,TON,2018,11.8328409194946
"Expected Years of School, Female",HD.HCI.EYRS.FE,Tonga,TON,2017,11.18
"Expected Years of School, Male",HD.HCI.EYRS.MA,Tonga,TON,2020,11.314600944519
"Expected Years of School, Male",HD.HCI.EYRS.MA,Tonga,TON,2018,11.314600944519
"Expected Years of School, Male",HD.HCI.EYRS.MA,Tonga,TON,2017,10.61
